date_mm_dd_yyyy,route_shift,route_name,building_name,any_birds_found_on_route_shift,building_face_direction,species,found_dead_alive
2019-10-17,AM,Other (explain in notes),Electrical and Computer Engineering_409,Yes,East,Swamp Sparrow_Melospiza georgiana,Dead
2019-10-17,AM,Other (explain in notes),Beckman Institute_228,Yes,West,Tennessee Warbler_Oreothlypis peregrina,Dead
2019-10-18,AM,Other (explain in notes),Beckman Institute_228,Yes,West,Hermit Thrush_Catharus guttatus,Dead
2019-10-17,PM,Other (explain in notes),Beckman Institute_228,Yes,East,Northern Flicker_Colaptes auratus,Dead
2019-10-17,PM,Other (explain in notes),Beckman Institute_228,Yes,East,Scarlet Tanager_Piranga olivacea,Dead
2020-09-13,PM,North Quad,Beckman Institute_228,Yes,East,NA,Dead
2020-09-14,AM,South Quad,Agricultural Engineering Sciences Building_8,Yes,South,Unidentifiable,Dead
2020-09-14,AM,South Quad,Education Building_160,Yes,West,Ovenbird_Seiurus aurocapilla,Alive
2020-09-14,AM,South Quad,Law Building_156,Yes,North,Swainson's Thrush_Catharus ustulatus,Dead
2020-09-14,AM,Main Quad,Carl R. Woese Institute for Genomic Biology_1080,Yes,North,American Redstart_Setophaga ruticilla,Dead
2020-09-14,AM,Main Quad,Chemical & Life Sciences Laboratory_70,Yes,East,Swainson's Thrush_Catharus ustulatus,Dead
2020-09-14,PM,North Quad,Beckman Institute_228,Yes,North,Ovenbird_Seiurus aurocapilla,Dead
2020-09-14,PM,North Quad,Beckman Institute_228,Yes,South,Bay-breasted Warbler_Setophaga castanea,Dead
2020-09-14,PM,North Quad,Beckman Institute_228,Yes,South,Swainson's Thrush_Catharus ustulatus,Dead
2020-09-14,PM,North Quad,Electrical and Computer Engineering_409,Yes,North,Unidentifiable,Dead
2020-09-14,PM,North Quad,Grainger Engineering Library Information Center_324,Yes,West,Unidentifiable,Dead
2020-09-14,PM,North Quad,Grainger Engineering Library Information Center_324,Yes,North,American Crow_Corvus brachyrhynchos,Dead
